"filename", "language", "JSON", "JSON with Comments", "Markdown", "PostCSS", "TypeScript", "HTML", "TypeScript JSX", "XML", "Rust", "comment", "blank", "total"
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CreatePatternBrushFromGrid.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\CreatePatternBrushFromSelection.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DeleteComfyApp.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 2, 17
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DeletePatternBrush.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DeleteProject.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 7, 40
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DeleteWorld.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DrawStroke.ts", "TypeScript", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 7, 104
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\DuplicateComfyApp.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 3, 23
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\EnsureSoftwareDataPathAccess.test.ts", "TypeScript", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 11, 64
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\EnsureSoftwareDataPathAccess.ts", "TypeScript", 0, 0, 0, 0, 101, 0, 0, 0, 0, 2, 20, 123
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ExportImageUseCases.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 7, 58
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ExtractPalette.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 13, 22
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ExtractSelectionColorsForAnalysis.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\GridRestoreUseCases.test.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 6, 53
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\GridRestoreUseCases.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 6, 84
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\HistoryUseCases.test.ts", "TypeScript", 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 28, 189
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\HistoryUseCases.ts", "TypeScript", 0, 0, 0, 0, 183, 0, 0, 0, 0, 4, 30, 217
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetFromCanvasRegion.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 2, 27
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetFromClipboard.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetFromFile.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetFromImageData.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetFromPixelGrid.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 7, 56
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetToProject.test.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 8, 33
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportAssetToProject.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 6, 57
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportComfyWorkflow.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 4, 29
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportReferenceLayerColorsToPalette.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportReferenceLayerFromClipboard.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ImportToReferenceLayer.ts", "TypeScript", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 11, 136
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LayerUseCases.test.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LayerUseCases.ts", "TypeScript", 0, 0, 0, 0, 289, 0, 0, 0, 0, 0, 38, 327
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ListComfyApps.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 1, 2, 18
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ListProjectsInSoftwareDataPath.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\ListWorldsInWorkspace.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 17
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadAgentProfiles.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadAppSettings.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"g:\TypeScriptProject\pixelart_master\pixelart_master\src\application\use-cases\LoadAssetLibrary.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
